,AIRPORT_TYPE,NAME,AIRPORT_IDENT,LATITUDE,LONGITUDE
66,Hospital Heliport,Bancroft (North Hastings District Hospital),CPB7,45.071388899999995,77.8788889
67,Hospital Heliport,Haliburton (Hospital),CNF2,45.0380715,78.53010490000001
68,Airport,Haliburton/Stanhope Muni,CND4,45.1113427,78.6418809
69,Hospital Heliport,Minden (Hospital),CMI2,44.9251299,78.7302223
70,Airport,Muskoka,CYQA,44.969506700000004,79.30012090000001
71,Hospital Heliport,Bracebridge (South Muskoka Memorial Hospital),CPL2,45.04752,79.3145526
72,Hospital Heliport,Huntsville (Memorial District Hospital),CPC9,45.339179,79.2058536
73,Airport,Huntsville/Deerhurst Resort,CDH1,45.3533639,79.1538533
74,Airport,Emsdale,CNA4,45.5455506,79.34317659999999
75,Airport,Windermere,CNW2,45.1617222,79.5362309
76,Airport,South River/Sundridge,CPE6,45.823991299999996,79.3230277
77,Airport,Parry Sound Area Muni,CNK4,45.2600971,79.8345708
78,Hospital Heliport,Parry Sound Medical,CRS2,45.3409146,80.0158931
79,Airport,Westport/Rideau Lakes,CRL2,44.6649384,76.3994514
80,Hospital Heliport,Perth (Great War Memorial Hospital),CNC9,44.9062164,76.25291690000002
81,Hospital Heliport,Smiths Falls (Community Hospital),CNS9,44.9072862,76.02733190000001
82,Airport,Smiths Falls-Montague (Russ Beach),CYSH,44.946350200000005,75.9401607
83,Airport,Brockville-Thousand Islands Regional Tackaberry,CNL3,44.639304200000005,75.7537574
84,Airport,Carleton Place,CNR6,45.1050568,76.1253202
85,Hospital Heliport,Carleton Place (District Memorial Hospital),CPN7,45.1415,76.1369217
86,Heliport,Ottawa/Dwyer Hill,CYDH,45.1330546,75.9497901
87,Airport,Ottawa/Carp,CYRP,45.3190118,76.0253408
88,Airport,Ottawa/Rockcliffe,CYRO,45.460063,75.6431568
89,Hospital Heliport,Ottawa (Children`s Hospital),CPK7,45.401050299999994,75.6515092
90,Airport,Ottawa/Macdonald-Cartier Intl,CYOW,45.3217489,75.670113
91,Airport,Kars/Rideau Valley Air Park,CPL3,45.101676899999994,75.6297572
92,Hospital Heliport,Ottawa (Civic Hospital),CPP7,45.3915135,75.72059820000001
93,Airport,Iroquois,CNP7,44.8420919,75.31231700000001
94,Airport,Winchester,CNA8,45.045006799999996,75.3028479
95,Airport,Ottawa/Embrun,CPR2,45.239970899999996,75.3019736
96,Airport,Morrisburg,CNS8,44.947207299999995,75.0766496
97,Airport,Pendleton,CNF3,45.4873148,75.094084
98,Airport,Hawkesbury (Windover Field),CPD8,45.5653566,74.8091307
99,Airport,Hawkesbury,CNV4,45.6166695,74.64780259999999
100,Airport,Alexandria,CNS4,45.3302908,74.6230812
101,Hospital Heliport,Cornwall (Community Hosp McConnell Site),CPS6,45.0305919,74.718161
102,Airport,Cornwall Regional,CYCC,45.0924559,74.5666505
103,Airport,Hawkesbury (East),CPG5,45.5839636,74.54905190000001
104,Airport,Deep River/Rolph,CPH2,46.1162478,77.5272505
105,Airport,Petawawa,CYWA,45.948915500000005,77.3149259
106,Airport,Pembroke,CYTA,45.864974200000006,77.2520258
107,Hospital Heliport,Pembroke (Regional Hosp),CNG5,45.8151975,77.1079456
108,Airport,Barry's Bay/Madawaska Valley Airpark,CNZ4,45.5046724,77.644494
109,Hospital Heliport,Barry`s Bay (St. Francis Memorial Hospital),CPV6,45.4822715,77.6947716
110,Airport,Cobden/Bruce McPhail Memorial,CPF4,45.5953588,76.833973
111,Hospital Heliport,Renfrew (Victoria Hospital),CPG9,45.4825101,76.6986728
112,Airport,Arnprior/South Renfrew Muni,CNP3,45.4129276,76.3661524
113,Airport,Mattawa,CMA2,46.3011263,78.7484902
